SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,"Daulton VarshoAriC, OF",@Phi,6:05 PM (Gibson),27.0,79.0,24.0,17,54,3.0,0.0,4.0,94.7,-1.1,92,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,"Jake CronenworthSD2B, 1B, SS",Col,8:40 PM (Kuhl),32.0,81.0,33.0,25,55,0.0,0.0,2.0,94.0,2.1,114,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,"DJ LeMahieuNYY2B, 1B, 3B",ChC,6:05 PM (Miley),28.0,76.0,27.0,21,27,1.0,0.0,0.0,98.7,0.2,126,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,"Eduardo EscobarNYM2B, 1B, 3B",@LAA,8:38 PM,28.0,87.0,24.0,22,56,0.0,1.0,5.0,68.7,6.0,101,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Marcus SemienTex2B, SS",@ChW,7:10 PM (Martin),30.0,78.0,22.0,18,39,10.0,0.0,7.0,96.8,1.9,112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,"Tommy EdmanStL2B, SS, OF",Cin,7:15 PM (Castillo),46.0,89.0,23.0,24,42,14.0,0.0,3.0,98.4,0.5,151,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,Yuli GurrielHou1B,Mia,7:10 PM (Lopez),18.0,66.0,15.0,11,30,3.0,0.0,2.0,70.3,-3.4,81,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Juan SotoWshOF,Mil,6:05 PM (Ashby),32.0,96.0,23.0,46,39,5.0,0.0,1.0,99.9,0.0,162,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Kyle TuckerHouOF,Mia,7:10 PM (Lopez),21.0,85.0,34.0,29,39,10.0,0.0,1.0,99.5,0.3,139,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Cedric MullinsBalOF,@KC,7:10 PM (Heasley),30.0,89.0,21.0,15,48,11.0,0.0,0.0,98.3,-0.2,118,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Jared WalshLAA1B, OF",NYM,8:38 PM (Megill),26.0,90.0,33.0,13,64,1.0,0.0,3.0,90.1,-0.1,96,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Mike YastrzemskiSFOF,LAD,9:15 PM (Buehler),29.0,72.0,21.0,26,36,0.0,0.0,1.0,77.5,0.3,111,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,Anthony RizzoNYY1B,ChC,6:05 PM (Miley),33.0,99.0,39.0,24,41,4.0,0.0,3.0,98.9,0.1,155,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Carlos CorreaMinSS,TB,7:10 PM (Rasmussen),20.0,63.0,17.0,15,40,0.0,0.0,3.0,96.0,-0.4,72,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Max FriedAtlSP,Pit,6:20 PM (Contreras),0.0,0.0,0.0,12,69,0.0,0.0,0.0,99.6,0.1,192,16.0,75.0,66.0,22.0,0.0,6.0,2.0,0.0
P,Yu DarvishSDSP,Col,8:40 PM (Kuhl),0.0,0.0,0.0,15,54,0.0,0.0,0.0,98.4,-0.2,144,13.1,67.1,53.0,27.0,0.0,5.0,3.0,0.0
P,German MarquezColSP,@SD,8:40 PM (Musgrove),0.0,0.0,0.0,22,53,0.0,0.0,0.0,61.3,-2.5,36,3.3,61.0,75.0,44.0,0.0,2.0,5.0,0.0
P,Marcus StromanChCSP,@NYY,6:05 PM (Severino),0.0,0.0,0.0,12,45,0.0,0.0,0.0,68.2,-4.7,58,6.4,47.1,46.0,28.0,0.0,2.0,5.0,0.0
P,Tarik SkubalDetSP,Tor,6:10 PM (Berrios),0.0,0.0,0.0,10,70,0.0,0.0,0.0,93.1,1.5,191,17.4,65.2,51.0,15.0,0.0,5.0,2.0,0.0
P,Jordan MontgomeryNYYSP,ChC,6:05 PM (Miley),0.0,0.0,0.0,10,46,0.0,0.0,0.0,84.2,3.8,125,11.4,59.2,50.0,20.0,0.0,1.0,1.0,0.0
P,Jose UrquidyHouSP,Mia,7:10 PM (Lopez),0.0,0.0,0.0,12,43,0.0,0.0,0.0,51.3,-0.6,69,6.3,55.1,76.0,31.0,0.0,5.0,3.0,0.0
P,Scott BarlowKCRP,Bal,7:10 PM (Zimmermann),0.0,0.0,0.0,9,23,0.0,0.0,0.0,71.2,-1.4,94,4.3,25.1,21.0,5.0,0.0,2.0,1.0,6.0
P,Kyle WrightAtlSP,Pit,6:20 PM (Contreras),0.0,0.0,0.0,23,73,0.0,0.0,0.0,93.4,0.9,186,16.9,67.2,46.0,18.0,0.0,6.0,3.0,0.0
Bench,Freddy PeraltaIL15MilSP,@Wsh,6:05 PM (Fedde),0.0,0.0,0.0,13,50,0.0,0.0,0.0,87.6,-2.5,87,10.9,38.2,33.0,19.0,0.0,3.0,2.0,0.0
Bench,Hyun Jin RyuIL15TorSP,@Det,6:10 PM (Rodriguez),0.0,0.0,0.0,4,16,0.0,0.0,0.0,56.3,-11.1,40,6.7,27.0,31.0,16.0,0.0,2.0,0.0,0.0
