SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,Will SmithLADC,@SF,9:15 PM (Junis),23.0,63.0,26.0,25,31,0.0,0.0,1.0,99.6,0.0,105,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,"Pete AlonsoDTDNYM1B, DH",@LAA,8:38 PM,38.0,118.0,54.0,23,54,1.0,0.0,4.0,99.7,0.0,176,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,"Chris TaylorLADOF, 2B, 3B, SS",@SF,9:15 PM (Junis),25.0,80.0,23.0,21,71,3.0,0.0,2.0,85.7,-0.5,79,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,Nolan ArenadoStL3B,Cin,7:15 PM (Castillo),25.0,99.0,39.0,23,29,0.0,0.0,6.0,99.9,0.0,151,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Gleyber TorresNYYSS, 2B",ChC,6:05 PM (Miley),20.0,83.0,26.0,11,34,1.0,0.0,2.0,84.8,1.6,105,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,Corey SeagerTexSS,@ChW,7:10 PM (Martin),26.0,87.0,25.0,20,42,2.0,0.0,7.0,99.0,-0.1,111,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,"Bobby Witt Jr.KCSS, 3B",Bal,7:10 PM (Zimmermann),30.0,88.0,29.0,11,55,10.0,0.0,6.0,93.2,0.2,107,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Bryce HarperPhiOF, DH",Ari,6:05 PM (Gallen),42.0,128.0,45.0,18,47,6.0,0.0,0.0,99.9,0.0,192,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Jesse WinkerSeaOF,Bos,9:10 PM (Hill),17.0,61.0,22.0,33,38,0.0,0.0,1.0,83.3,-1.8,94,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Charlie BlackmonColOF, DH",@SD,8:40 PM (Musgrove),27.0,92.0,30.0,16,33,1.0,0.0,3.0,89.8,1.0,130,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Randy ArozarenaTBOF, DH",@Min,7:10 PM (Smeltzer),25.0,91.0,28.0,13,56,10.0,0.0,3.0,90.7,1.9,108,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Ian HappChCOF,@NYY,6:05 PM (Severino),27.0,81.0,29.0,31,44,4.0,0.0,1.0,83.3,4.5,127,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,"Shohei OhtaniLAADH, SP",NYM,8:38 PM (Megill),38.0,101.0,34.0,23,64,7.0,0.0,0.0,99.9,0.0,139,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Jean SeguraIL10Phi2B,Ari,6:05 PM (Gallen),22.0,68.0,19.0,10,26,8.0,0.0,3.0,74.6,-9.9,98,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,"Joey GalloNYYOF, DH",ChC,6:05 PM (Miley),17.0,54.0,13.0,20,64,0.0,0.0,1.0,53.7,-0.8,39,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Trent GrishamSDOF,Col,8:40 PM (Kuhl),18.0,54.0,19.0,25,56,1.0,0.0,0.0,48.2,0.3,61,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Frankie MontasOakSP,@Cle,6:10 PM (McKenzie),0.0,0.0,0.0,16,78,0.0,0.0,0.0,98.1,0.0,151,12.6,70.2,55.0,24.0,0.0,2.0,6.0,0.0
P,Logan WebbSFSP,LAD,9:15 PM (Buehler),0.0,0.0,0.0,17,59,0.0,0.0,0.0,98.5,-0.2,144,12.0,71.2,68.0,30.0,0.0,5.0,2.0,0.0
P,Tyler MahleCinSP,@StL,7:15 PM (Pallante),0.0,0.0,0.0,30,74,0.0,0.0,0.0,76.6,2.9,93,7.2,65.2,59.0,37.0,0.0,2.0,5.0,0.0
P,Raisel IglesiasLAARP,NYM,8:38 PM (Megill),0.0,0.0,0.0,4,28,0.0,0.0,0.0,93.7,-2.3,94,4.1,20.1,16.0,10.0,0.0,1.0,4.0,12.0
P,Craig KimbrelOLADRP,@SF,9:15 PM (Junis),0.0,0.0,0.0,6,25,0.0,0.0,0.0,90.8,-1.4,86,4.8,18.0,16.0,8.0,0.0,0.0,2.0,11.0
P,Logan GilbertSeaSP,Bos,9:10 PM (Hill),0.0,0.0,0.0,22,70,0.0,0.0,0.0,96.1,0.4,188,15.7,71.0,55.0,19.0,0.0,6.0,2.0,0.0
P,"Cristian JavierHouRP, SP",Mia,7:10 PM (Lopez),0.0,0.0,0.0,16,56,0.0,0.0,0.0,78.3,-3.0,107,9.7,44.2,35.0,16.0,0.0,3.0,3.0,0.0
P,"Corey KnebelPhiRP, SP",Ari,6:05 PM (Gallen),0.0,0.0,0.0,14,22,0.0,0.0,0.0,65.9,-0.6,83,3.5,24.0,19.0,9.0,0.0,2.0,4.0,10.0
P,Empty,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Aroldis ChapmanIL15NYYRP,ChC,6:05 PM (Miley),0.0,0.0,0.0,10,15,0.0,0.0,0.0,89.2,-0.9,57,3.4,14.0,13.0,6.0,0.0,0.0,2.0,9.0
UTIL,"Shohei OhtaniLAADH, SP",NYM,8:38 PM (Megill),0.0,0.0,0.0,13,71,0.0,0.0,0.0,99.9,0.0,139,2.4,54.1,48.0,22.0,0.0,4.0,4.0,0.0
