SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,"J.T. RealmutoPhiC, 1B",Ari,6:05 PM (Gallen),26.0,68.0,20.0,15,46,5.0,0.0,5.0,98.9,0.1,83,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,Rhys HoskinsPhi1B,Ari,6:05 PM (Gallen),29.0,85.0,27.0,25,66,0.0,0.0,5.0,87.5,-1.3,95,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,Ozzie AlbiesAtl2B,Pit,6:20 PM (Contreras),32.0,92.0,28.0,13,43,3.0,0.0,3.0,99.8,0.0,122,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,Matt ChapmanTor3B,@Det,6:10 PM (Rodriguez),27.0,72.0,23.0,22,52,0.0,0.0,2.0,82.6,0.9,90,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Gavin LuxLADSS, 2B, OF",@SF,9:15 PM (Junis),32.0,59.0,13.0,22,33,5.0,0.0,3.0,50.3,-1.7,95,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,"Max MuncyLAD2B, 1B, 3B",@SF,9:15 PM (Junis),23.0,41.0,19.0,34,40,0.0,0.0,4.0,90.3,1.5,73,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,Eric HosmerSD1B,Col,8:40 PM (Kuhl),18.0,80.0,25.0,18,35,0.0,0.0,2.0,69.3,-11.8,104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Mookie BettsLADOF,@SF,9:15 PM (Junis),52.0,126.0,39.0,26,42,6.0,0.0,0.0,99.9,0.0,207,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Whit MerrifieldKC2B, OF",Bal,7:10 PM (Zimmermann),27.0,73.0,25.0,14,33,7.0,0.0,0.0,95.6,-0.3,113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"J.D. MartinezBosOF, DH",@Sea,9:10 PM (Gonzales),33.0,102.0,23.0,20,51,0.0,0.0,0.0,99.2,0.1,127,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Marcell OzunaAtlOF, DH",Pit,6:20 PM (Contreras),25.0,87.0,23.0,13,54,2.0,0.0,1.0,91.1,-0.4,95,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Amed RosarioCleSS, OF",Oak,6:10 PM (Blackburn),22.0,59.0,12.0,10,29,5.0,0.0,4.0,39.4,0.2,75,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,Xander BogaertsBosSS,@Sea,9:10 PM (Gonzales),36.0,100.0,26.0,21,49,2.0,0.0,6.0,99.6,0.0,130,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,"Kris BryantIL10ColOF, 1B, 3B",@SD,8:40 PM (Musgrove),11.0,21.0,4.0,7,15,0.0,0.0,1.0,92.8,-1.0,27,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Zack WheelerOPhiSP,Ari,6:05 PM (Gallen),0.0,0.0,0.0,15,67,0.0,0.0,0.0,99.3,-0.1,137,13.7,57.1,52.0,20.0,0.0,4.0,3.0,0.0
P,Josh HaderMilRP,@Wsh,6:05 PM (Fedde),0.0,0.0,0.0,6,30,0.0,0.0,0.0,99.7,0.0,155,7.8,18.2,6.0,2.0,0.0,0.0,1.0,18.0
P,Luis CastilloPPCinSP,@StL,7:15 PM (Pallante),0.0,0.0,0.0,12,34,0.0,0.0,0.0,91.0,1.5,65,10.8,33.0,25.0,13.0,0.0,2.0,3.0,0.0
P,Kenley JansenAtlRP,Pit,6:20 PM (Contreras),0.0,0.0,0.0,8,36,0.0,0.0,0.0,96.4,0.3,164,6.6,25.2,16.0,10.0,0.0,3.0,0.0,16.0
P,Joe RyanOMinSP,TB,7:10 PM (Rasmussen),0.0,0.0,0.0,14,42,0.0,0.0,0.0,86.8,-1.1,122,15.3,43.1,29.0,11.0,0.0,5.0,2.0,0.0
P,Carlos CarrascoNYMSP,@LAA,8:38 PM,0.0,0.0,0.0,13,61,0.0,0.0,0.0,83.1,3.1,159,14.5,64.0,61.0,25.0,0.0,7.0,1.0,0.0
P,Miles MikolasStLSP,Cin,7:15 PM (Castillo),0.0,0.0,0.0,15,60,0.0,0.0,0.0,74.0,-7.6,155,12.9,73.2,63.0,24.0,0.0,4.0,4.0,0.0
P,"Chad KuhlPPColSP, RP",@SD,8:40 PM (Musgrove),0.0,0.0,0.0,20,41,0.0,0.0,0.0,28.7,1.9,107,10.7,54.0,48.0,19.0,0.0,4.0,2.0,0.0
P,Daniel BardColRP,@SD,8:40 PM (Musgrove),0.0,0.0,0.0,12,29,0.0,0.0,0.0,66.3,3.1,129,5.9,23.1,11.0,6.0,0.0,3.0,2.0,12.0
Bench,Max ScherzerIL15NYMSP,@LAA,8:38 PM,0.0,0.0,0.0,11,59,0.0,0.0,0.0,99.5,0.0,153,19.1,49.2,36.0,14.0,0.0,5.0,1.0,0.0
Bench,Sonny GrayIL15MinSP,TB,7:10 PM (Rasmussen),0.0,0.0,0.0,10,39,0.0,0.0,0.0,80.5,-3.8,99,14.1,33.2,23.0,9.0,0.0,3.0,1.0,0.0
