SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,"Willson ContrerasChCC, DH",@NYY,6:05 PM (Severino),35.0,88.0,23.0,24,40,2.0,0.0,2.0,97.3,0.8,130,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,"Rowdy TellezMil1B, DH",@Wsh,6:05 PM (Fedde),21.0,95.0,37.0,15,48,0.0,0.0,0.0,62.7,-4.0,120,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,"Enrique HernandezIL10BosOF, 2B",@Sea,9:10 PM (Gonzales),27.0,73.0,24.0,18,38,0.0,0.0,0.0,70.9,-7.2,104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,"Jose RamirezCle3B, DH",Oak,6:10 PM (Blackburn),35.0,122.0,55.0,33,16,9.0,0.0,3.0,99.9,0.0,235,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Luis UriasMil3B, 2B, SS",@Wsh,6:05 PM (Fedde),18.0,42.0,11.0,14,28,0.0,0.0,5.0,63.9,-11.4,52,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,"Brandon DruryCinOF, 2B, 3B",@StL,7:15 PM (Pallante),36.0,91.0,30.0,14,42,1.0,0.0,1.0,73.3,15.6,129,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,Paul GoldschmidtStL1B,Cin,7:15 PM (Castillo),40.0,127.0,47.0,31,49,3.0,0.0,0.0,99.7,0.1,199,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Mike TroutDTDLAAOF,NYM,8:38 PM (Megill),39.0,110.0,30.0,27,57,0.0,0.0,1.0,99.9,0.0,148,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Yordan AlvarezHouOF, DH",Mia,7:10 PM (Lopez),38.0,116.0,38.0,28,33,0.0,0.0,2.0,99.8,0.1,185,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Brandon NimmoNYMOF,@LAA,8:38 PM,31.0,74.0,18.0,26,38,0.0,0.0,0.0,73.2,-6.4,111,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Austin HaysBalOF,@KC,7:10 PM (Heasley),28.0,93.0,31.0,18,36,1.0,0.0,0.0,82.0,4.9,135,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Joc PedersonSFOF,LAD,9:15 PM (Buehler),24.0,81.0,30.0,14,33,1.0,0.0,1.0,79.4,6.1,116,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,"Jose AbreuChW1B, DH",Tex,7:10 PM (Otto),28.0,82.0,23.0,27,37,0.0,0.0,3.0,97.3,0.3,120,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,"Jorge PolancoMin2B, SS",TB,7:10 PM (Rasmussen),26.0,78.0,31.0,30,52,3.0,0.0,5.0,95.1,0.4,111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Corbin BurnesMilSP,@Wsh,6:05 PM (Fedde),0.0,0.0,0.0,17,92,0.0,0.0,0.0,99.9,0.0,195,16.3,72.2,53.0,20.0,0.0,3.0,4.0,0.0
P,Dylan CeaseChWSP,Tex,7:10 PM (Otto),0.0,0.0,0.0,33,89,0.0,0.0,0.0,98.6,-0.1,155,12.9,63.0,51.0,22.0,0.0,4.0,3.0,0.0
P,Alek ManoahTorSP,@Det,6:10 PM (Rodriguez),0.0,0.0,0.0,13,61,0.0,0.0,0.0,99.5,0.0,205,18.6,69.2,54.0,14.0,0.0,7.0,1.0,0.0
P,Luis GarciaPPHouSP,Mia,7:10 PM (Lopez),0.0,0.0,0.0,16,53,0.0,0.0,0.0,93.8,0.3,120,12.0,55.2,41.0,19.0,0.0,3.0,4.0,0.0
P,Pablo LopezPPMiaSP,@Hou,7:10 PM (Garcia),0.0,0.0,0.0,17,67,0.0,0.0,0.0,97.6,0.3,179,16.3,66.0,47.0,16.0,0.0,4.0,2.0,0.0
P,"Luis SeverinoPPNYYRP, SP",ChC,6:05 PM (Miley),0.0,0.0,0.0,14,61,0.0,0.0,0.0,94.5,1.7,150,15.0,55.0,41.0,18.0,0.0,4.0,1.0,0.0
P,Kyle GibsonPPPhiSP,Ari,6:05 PM (Gallen),0.0,0.0,0.0,17,52,0.0,0.0,0.0,70.4,-2.0,100,9.1,57.1,56.0,28.0,0.0,3.0,2.0,0.0
P,"Keegan ThompsonChCRP, SP",@NYY,6:05 PM (Severino),0.0,0.0,0.0,15,39,0.0,0.0,0.0,42.9,-0.4,120,9.2,48.1,40.0,17.0,0.0,6.0,1.0,0.0
P,"Michael LorenzenLAARP, SP",NYM,8:38 PM (Megill),0.0,0.0,0.0,20,40,0.0,0.0,0.0,37.2,-4.3,106,11.8,53.2,41.0,22.0,0.0,5.0,3.0,0.0
Bench,Lucas GiolitoChWSP,Tex,7:10 PM (Otto),0.0,0.0,0.0,19,62,0.0,0.0,0.0,99.0,0.0,111,12.3,48.1,49.0,19.0,0.0,4.0,2.0,0.0
Bench,Framber ValdezHouSP,Mia,7:10 PM (Lopez),0.0,0.0,0.0,25,55,0.0,0.0,0.0,95.5,0.7,164,14.9,69.0,53.0,20.0,0.0,6.0,2.0,0.0
