SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,"Gary SanchezMinC, DH",TB,7:10 PM (Rasmussen),16.0,70.0,27.0,10,51,1.0,0.0,1.0,44.5,-0.4,72,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,Matt OlsonAtl1B,Pit,6:20 PM (Contreras),23.0,101.0,29.0,35,60,0.0,0.0,5.0,99.5,0.0,123,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,Jose AltuveHou2B,Mia,7:10 PM (Lopez),26.0,87.0,19.0,17,26,3.0,0.0,2.0,99.7,0.0,124,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,"Austin RileyAtl3B, 1B",Pit,6:20 PM (Contreras),32.0,120.0,34.0,20,69,2.0,0.0,5.0,99.1,0.3,134,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Trevor StoryBosSS, 2B",@Sea,9:10 PM (Gonzales),31.0,86.0,41.0,23,70,8.0,0.0,4.0,97.9,0.2,115,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,Francisco LindorNYMSS,@LAA,8:38 PM,39.0,96.0,45.0,25,50,8.0,0.0,5.0,99.7,0.0,158,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,Rafael DeversBos3B,@Sea,9:10 PM (Gonzales),43.0,141.0,31.0,12,46,1.0,0.0,6.0,99.9,0.0,176,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Aaron JudgeNYYOF, DH",ChC,6:05 PM (Miley),48.0,141.0,45.0,27,61,3.0,0.0,0.0,99.9,0.0,203,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Cody BellingerLADOF,@SF,9:15 PM (Junis),25.0,77.0,22.0,19,62,6.0,0.0,0.0,94.1,-0.3,87,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Christian YelichMilOF, DH",@Wsh,6:05 PM (Fedde),34.0,76.0,21.0,27,60,8.0,1.0,0.0,97.3,-0.8,107,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Alex VerdugoBosOF,@Sea,9:10 PM (Gonzales),25.0,75.0,29.0,13,24,0.0,0.0,2.0,89.8,3.0,116,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Connor JoeColOF, 1B, DH",@SD,8:40 PM (Musgrove),31.0,86.0,14.0,30,44,3.0,0.0,1.0,73.7,-3.5,119,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,Andrew BenintendiKCOF,Bal,7:10 PM (Zimmermann),19.0,83.0,21.0,22,34,0.0,0.0,0.0,87.5,-1.0,111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Anthony RendonIL10LAA3B,NYM,8:38 PM (Megill),15.0,60.0,23.0,21,31,2.0,0.0,5.0,94.8,-1.0,85,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Shane BieberCleSP,Oak,6:10 PM (Blackburn),0.0,0.0,0.0,16,68,0.0,0.0,0.0,99.5,0.1,148,13.5,65.0,57.0,21.0,0.0,3.0,3.0,0.0
P,Liam HendriksChWRP,Tex,7:10 PM (Otto),0.0,0.0,0.0,8,36,0.0,0.0,0.0,99.4,0.0,140,5.8,24.2,21.0,8.0,0.0,1.0,2.0,16.0
P,Shane McClanahanTBSP,@Min,7:10 PM (Smeltzer),0.0,0.0,0.0,13,98,0.0,0.0,0.0,98.8,0.4,248,20.7,72.1,49.0,15.0,0.0,7.0,2.0,0.0
P,Jordan RomanoTorRP,@Det,6:10 PM (Rodriguez),0.0,0.0,0.0,8,26,0.0,0.0,0.0,94.7,0.0,128,5.6,21.1,17.0,6.0,0.0,1.0,2.0,16.0
P,Taylor RogersSDRP,Col,8:40 PM (Kuhl),0.0,0.0,0.0,6,26,0.0,0.0,0.0,93.2,-0.8,137,5.5,24.0,14.0,8.0,0.0,0.0,3.0,18.0
P,Ryan PresslyHouRP,Mia,7:10 PM (Lopez),0.0,0.0,0.0,5,12,0.0,0.0,0.0,90.7,0.4,83,5.2,14.2,13.0,5.0,0.0,1.0,1.0,11.0
P,Paul BlackburnPPOakSP,@Cle,6:10 PM (McKenzie),0.0,0.0,0.0,14,44,0.0,0.0,0.0,70.1,-7.0,138,12.5,58.1,48.0,17.0,0.0,5.0,2.0,0.0
P,Tyler AndersonLADSP,@SF,9:15 PM (Junis),0.0,0.0,0.0,9,55,0.0,0.0,0.0,81.0,7.1,166,15.1,58.2,51.0,20.0,0.0,7.0,0.0,0.0
P,"Garrett WhitlockBosRP, SP",@Sea,9:10 PM (Gonzales),0.0,0.0,0.0,11,49,0.0,0.0,0.0,63.3,-1.3,112,8.6,48.2,44.0,19.0,0.0,2.0,1.0,1.0
Bench,Brandon WoodruffIL15MilSP,@Wsh,6:05 PM (Fedde),0.0,0.0,0.0,13,53,0.0,0.0,0.0,98.9,0.0,94,10.4,43.2,41.0,23.0,0.0,5.0,3.0,0.0
Bench,Aaron NolaPhiSP,Ari,6:05 PM (Gallen),0.0,0.0,0.0,10,85,0.0,0.0,0.0,99.4,0.1,185,15.4,74.2,56.0,29.0,0.0,4.0,4.0,0.0
