SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,Sean MurphyOakC,@Cle,6:10 PM (McKenzie),22.0,69.0,23.0,17,57,0.0,0.0,0.0,62.8,-6.9,74,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,Josh BellWsh1B,Mil,6:05 PM (Ashby),29.0,90.0,31.0,23,30,0.0,0.0,3.0,98.3,0.0,140,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,"Ty FranceSea1B, 2B, DH",Bos,9:10 PM (Hill),27.0,111.0,38.0,17,31,0.0,0.0,2.0,98.2,0.3,160,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,"Wilmer FloresSF3B, 1B, 2B, DH",LAD,9:15 PM (Buehler),30.0,82.0,33.0,16,33,0.0,0.0,6.0,75.0,7.9,122,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Bo BichetteTorSS, DH",@Det,6:10 PM (Rodriguez),30.0,102.0,30.0,17,61,4.0,0.0,7.0,99.8,0.0,115,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,"Jurickson ProfarSD1B, 2B, OF",Col,8:40 PM (Kuhl),34.0,89.0,32.0,31,38,4.0,0.0,1.0,85.9,4.9,151,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,Alex BregmanHou3B,Mia,7:10 PM (Lopez),27.0,72.0,28.0,33,30,0.0,0.0,2.0,99.6,-0.1,128,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Bryan ReynoldsPitOF,@Atl,6:20 PM (Strider),20.0,78.0,14.0,23,51,3.0,0.0,0.0,91.4,-0.1,87,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Nick CastellanosPhiOF,Ari,6:05 PM (Gallen),27.0,88.0,29.0,18,54,2.0,0.0,0.0,98.9,-0.3,110,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Kyle SchwarberPhiOF, 1B, DH",Ari,6:05 PM (Gallen),37.0,96.0,31.0,35,73,2.0,0.0,1.0,96.4,1.2,127,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Luis ArraezMin3B, 1B, 2B, OF",TB,7:10 PM (Rasmussen),32.0,72.0,14.0,25,16,2.0,0.0,2.0,86.6,0.9,127,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Julio RodriguezSeaOF,Bos,9:10 PM (Hill),26.0,89.0,26.0,18,69,17.0,0.0,1.0,84.6,3.1,106,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,Empty,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Hunter RenfroeMilOF,@Wsh,6:05 PM (Fedde),23.0,77.0,20.0,9,42,0.0,0.0,1.0,73.9,-1.2,86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Walker BuehlerPPLADSP,@SF,9:15 PM (Junis),0.0,0.0,0.0,17,52,0.0,0.0,0.0,99.8,0.0,123,11.2,61.0,63.0,26.0,0.0,6.0,2.0,0.0
P,Kevin GausmanTorSP,@Det,6:10 PM (Rodriguez),0.0,0.0,0.0,7,73,0.0,0.0,0.0,99.4,-0.1,157,14.3,64.2,68.0,20.0,0.0,5.0,4.0,0.0
P,Sean ManaeaSDSP,Col,8:40 PM (Kuhl),0.0,0.0,0.0,24,71,0.0,0.0,0.0,96.2,0.1,149,13.5,69.0,51.0,27.0,0.0,3.0,3.0,0.0
P,Blake SnellSDSP,Col,8:40 PM (Kuhl),0.0,0.0,0.0,11,22,0.0,0.0,0.0,81.8,-4.2,14,2.8,19.0,15.0,12.0,0.0,0.0,3.0,0.0
P,Adam WainwrightStLSP,Cin,7:15 PM (Castillo),0.0,0.0,0.0,22,48,0.0,0.0,0.0,93.1,0.8,130,11.8,66.0,59.0,20.0,0.0,5.0,4.0,0.0
P,"Nestor CortesNYYSP, RP",ChC,6:05 PM (Miley),0.0,0.0,0.0,14,71,0.0,0.0,0.0,96.8,1.0,192,17.5,64.1,45.0,14.0,0.0,5.0,2.0,0.0
P,"Drew RasmussenPPTBRP, SP",@Min,7:10 PM (Smeltzer),0.0,0.0,0.0,14,46,0.0,0.0,0.0,87.9,0.9,131,11.9,53.2,41.0,18.0,0.0,5.0,2.0,0.0
P,Triston McKenziePPCleSP,Oak,6:10 PM (Blackburn),0.0,0.0,0.0,16,49,0.0,0.0,0.0,80.9,1.5,123,12.3,58.0,34.0,20.0,0.0,3.0,5.0,0.0
P,Robbie RaySeaSP,Bos,9:10 PM (Hill),0.0,0.0,0.0,27,77,0.0,0.0,0.0,97.1,-1.2,113,9.4,70.2,66.0,39.0,0.0,5.0,6.0,0.0
Bench,Julio UriasLADSP,@SF,9:15 PM (Junis),0.0,0.0,0.0,15,46,0.0,0.0,0.0,97.7,-0.4,110,10.0,58.1,50.0,18.0,0.0,3.0,5.0,0.0
Bench,Charlie MortonAtlSP,Pit,6:20 PM (Contreras),0.0,0.0,0.0,25,54,0.0,0.0,0.0,87.5,-2.0,71,6.5,54.1,58.0,34.0,0.0,4.0,3.0,0.0
Bench,Patrick SandovalLAASP,NYM,8:38 PM (Megill),0.0,0.0,0.0,24,46,0.0,0.0,0.0,69.5,-4.8,107,11.9,48.0,39.0,15.0,0.0,3.0,1.0,0.0
