SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,Keibert RuizWshC,Mil,6:05 PM (Ashby),15.0,55.0,13.0,15,17,3.0,0.0,3.0,77.7,-4.6,81,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,"Vladimir Guerrero Jr.Tor1B, DH",@Det,6:10 PM (Rodriguez),26.0,94.0,31.0,26,39,0.0,0.0,0.0,99.9,0.0,138,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,Kolten WongDTDMil2B,@Wsh,6:05 PM (Fedde),26.0,70.0,17.0,21,34,8.0,0.0,7.0,69.2,-1.7,101,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,Manny MachadoSD3B,Col,8:40 PM (Kuhl),38.0,114.0,36.0,25,38,7.0,0.0,2.0,99.9,0.0,180,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,"Trea TurnerLADSS, 2B",@SF,9:15 PM (Junis),30.0,106.0,46.0,20,46,13.0,0.0,4.0,99.9,0.0,165,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,Tim AndersonIL10ChWSS,Tex,7:10 PM (Otto),24.0,82.0,19.0,6,20,8.0,0.0,9.0,97.0,0.0,110,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,"Justin TurnerLAD3B, DH",@SF,9:15 PM (Junis),24.0,70.0,31.0,20,39,0.0,0.0,2.0,92.0,-0.6,104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Ronald Acuna Jr.AtlOF, DH",Pit,6:20 PM (Contreras),22.0,56.0,15.0,15,37,11.0,0.0,1.0,99.8,0.1,81,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Luis RobertChWOF,Tex,7:10 PM (Otto),23.0,71.0,20.0,6,32,8.0,0.0,0.0,98.3,0.1,96,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Byron BuxtonMinOF, DH",TB,7:10 PM (Rasmussen),32.0,90.0,28.0,15,48,1.0,0.0,0.0,97.8,0.1,118,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Jeff McNeilNYM2B, OF",@LAA,8:38 PM,27.0,86.0,28.0,15,25,2.0,0.0,2.0,92.4,0.9,131,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,Steven KwanCleOF,Oak,6:10 PM (Blackburn),22.0,53.0,16.0,21,12,4.0,0.0,0.0,40.3,-4.3,104,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,"Teoscar HernandezTorOF, DH",@Det,6:10 PM (Rodriguez),13.0,45.0,17.0,9,33,2.0,0.0,4.0,89.7,4.6,49,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,"Salvador PerezKCC, DH",Bal,7:10 PM (Zimmermann),19.0,73.0,25.0,6,54,0.0,0.0,1.0,95.7,0.1,68,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Sandy AlcantaraMiaSP,@Hou,7:10 PM (Garcia),0.0,0.0,0.0,24,77,0.0,0.0,0.0,99.7,0.1,239,19.9,83.2,55.0,15.0,0.0,6.0,2.0,0.0
P,Jose BerriosPPTorSP,@Det,6:10 PM (Rodriguez),0.0,0.0,0.0,16,49,0.0,0.0,0.0,95.1,1.6,83,7.5,56.2,64.0,33.0,0.0,4.0,2.0,0.0
P,Emmanuel ClaseCleRP,Oak,6:10 PM (Blackburn),0.0,0.0,0.0,4,27,0.0,0.0,0.0,93.0,1.1,112,4.5,23.1,16.0,5.0,0.0,1.0,2.0,10.0
P,Carlos RodonSFSP,LAD,9:15 PM (Buehler),0.0,0.0,0.0,22,75,0.0,0.0,0.0,97.8,-0.6,132,12.0,59.0,52.0,23.0,0.0,4.0,4.0,0.0
P,Zac GallenPPAriSP,@Phi,6:05 PM (Gibson),0.0,0.0,0.0,15,53,0.0,0.0,0.0,95.6,0.2,153,15.3,56.1,39.0,15.0,0.0,4.0,1.0,0.0
P,Justin VerlanderHouSP,Mia,7:10 PM (Lopez),0.0,0.0,0.0,14,73,0.0,0.0,0.0,99.3,0.2,219,19.9,71.2,46.0,17.0,0.0,7.0,2.0,0.0
P,"Michael KopechChWRP, SP",Tex,7:10 PM (Otto),0.0,0.0,0.0,24,51,0.0,0.0,0.0,94.5,0.0,134,13.4,51.0,24.0,11.0,0.0,2.0,2.0,0.0
P,Eric LauerMilSP,@Wsh,6:05 PM (Fedde),0.0,0.0,0.0,17,65,0.0,0.0,0.0,90.0,-0.2,162,16.2,56.2,46.0,15.0,0.0,5.0,1.0,0.0
P,Nick PivettaBosSP,@Sea,9:10 PM (Gonzales),0.0,0.0,0.0,23,69,0.0,0.0,0.0,70.0,13.7,137,11.4,66.2,53.0,28.0,0.0,5.0,5.0,0.0
Bench,Lance LynnIL60ChWSP,Tex,7:10 PM (Otto),0.0,0.0,0.0,0,0,0.0,0.0,0.0,87.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Noah SyndergaardLAASP,NYM,8:38 PM (Megill),0.0,0.0,0.0,10,30,0.0,0.0,0.0,80.4,-4.8,76,8.4,46.1,45.0,19.0,0.0,4.0,4.0,0.0
