SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,"Alejandro KirkTorC, DH",@Det,6:10 PM (Rodriguez),23.0,71.0,16.0,21,16,0.0,0.0,0.0,59.9,36.9,115,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B,Freddie FreemanLAD1B,@SF,9:15 PM (Junis),37.0,100.0,33.0,28,38,5.0,0.0,2.0,99.9,0.0,163,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B,"Thairo EstradaSFSS, 2B",LAD,9:15 PM (Buehler),32.0,74.0,24.0,12,31,8.0,0.0,3.0,57.7,1.3,116,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,Ke'Bryan HayesPit3B,@Atl,6:20 PM (Strider),24.0,74.0,20.0,25,43,7.0,0.0,7.0,84.9,2.0,100,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS,J.P. CrawfordSeaSS,Bos,9:10 PM (Hill),26.0,87.0,15.0,25,35,2.0,0.0,7.0,84.4,0.7,113,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2B/SS,"Jazz Chisholm Jr.Mia2B, SS",@Hou,7:10 PM (Garcia),29.0,87.0,37.0,14,48,10.0,0.0,3.0,96.4,0.5,126,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B/3B,C.J. CronCol1B,@SD,8:40 PM (Musgrove),33.0,118.0,41.0,15,66,0.0,0.0,1.0,96.8,0.0,140,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Ketel MarteAriOF, 2B",@Phi,6:05 PM (Gibson),28.0,90.0,20.0,19,43,3.0,0.0,7.0,97.1,0.7,110,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"George SpringerTorOF, DH",@Det,6:10 PM (Rodriguez),34.0,98.0,30.0,18,46,3.0,0.0,0.0,99.7,0.0,137,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Giancarlo StantonNYYOF, DH",ChC,6:05 PM (Miley),16.0,85.0,36.0,17,53,0.0,0.0,0.0,97.8,0.3,101,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Michael BrantleyHouOF, DH",Mia,7:10 PM (Lopez),17.0,75.0,17.0,24,22,1.0,0.0,0.0,92.2,-0.3,112,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF,"Jorge SolerMiaOF, DH",@Hou,7:10 PM (Garcia),26.0,91.0,29.0,25,59,0.0,0.0,0.0,82.1,0.8,112,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTIL,Starling MarteDTDNYMOF,@LAA,8:38 PM,36.0,94.0,33.0,8,42,8.0,0.0,0.0,98.3,0.0,137,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,Taylor WardIL10LAAOF,NYM,8:38 PM (Megill),30.0,85.0,26.0,26,35,1.0,0.0,0.0,91.6,-2.7,133,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,Gerrit ColeNYYSP,ChC,6:05 PM (Miley),0.0,0.0,0.0,17,84,0.0,0.0,0.0,99.9,0.0,179,14.9,67.0,55.0,27.0,0.0,5.0,1.0,0.0
P,Joe MusgrovePPSDSP,Col,8:40 PM (Kuhl),0.0,0.0,0.0,14,64,0.0,0.0,0.0,99.8,0.1,207,20.7,66.0,47.0,12.0,0.0,6.0,0.0,0.0
P,Nathan EovaldiBosSP,@Sea,9:10 PM (Gonzales),0.0,0.0,0.0,10,72,0.0,0.0,0.0,97.2,0.8,164,13.7,68.1,65.0,24.0,0.0,4.0,2.0,0.0
P,Chris BassittNYMSP,@LAA,8:38 PM,0.0,0.0,0.0,23,74,0.0,0.0,0.0,95.5,-1.7,128,10.7,68.1,62.0,33.0,0.0,4.0,4.0,0.0
P,Clay HolmesNYYRP,ChC,6:05 PM (Miley),0.0,0.0,0.0,3,29,0.0,0.0,0.0,77.9,5.4,157,6.0,27.2,15.0,1.0,0.0,4.0,0.0,9.0
P,David BednarPitRP,@Atl,6:20 PM (Strider),0.0,0.0,0.0,5,37,0.0,0.0,0.0,77.2,2.5,144,6.5,27.0,16.0,4.0,0.0,2.0,1.0,10.0
P,"Martin PerezTexSP, RP",@ChW,7:10 PM (Martin),0.0,0.0,0.0,16,56,0.0,0.0,0.0,86.2,6.1,182,16.5,69.1,52.0,12.0,0.0,4.0,2.0,0.0
P,Tony GonsolinLADSP,@SF,9:15 PM (Junis),0.0,0.0,0.0,18,54,0.0,0.0,0.0,89.3,3.5,191,17.4,57.0,31.0,10.0,0.0,7.0,0.0,0.0
P,Jameson TaillonNYYSP,ChC,6:05 PM (Miley),0.0,0.0,0.0,6,47,0.0,0.0,0.0,77.7,10.2,159,14.5,62.2,57.0,19.0,0.0,6.0,1.0,0.0
Bench,Edwin DiazNYMRP,@LAA,8:38 PM,0.0,0.0,0.0,10,41,0.0,0.0,0.0,96.9,0.1,131,5.7,22.2,16.0,6.0,0.0,2.0,1.0,11.0
Bench,MacKenzie GoreSDSP,Col,8:40 PM (Kuhl),0.0,0.0,0.0,17,57,0.0,0.0,0.0,79.0,8.7,149,16.6,48.0,34.0,8.0,0.0,4.0,1.0,0.0
